notation,count
61B2,90471
61BB2,14026
POINT(4.916667 52.3500),13637
31D14,13156
11Q712,11465
46A122,10859
31D15,10154
POINT(5.7500 52.2500),9873
25I1,9518
46C24,7979
25H213,7898
25I141,7555
41D11,7184
34B11,6291
25I,6144
25G3,5935
49M32,5934
41A12,5566
46C13141,5365
48C24,5349
41A31,5102
25H,5038
48C513,5018
44C312,4995
48B3,4884
25H11,4775
48C93,4530
92D1916,4394
61B11,4195
25I12,4010
POINT(4.3000 52.083333),3995
25G41,3945
31D13,3837
25A4,3827
25A3,3806
11L53,3786
31D112,3772
46C131,3683
46C223,3634
31D11222,3592
47I2112,3521
41A11,3514
25H15,3503
46C232,3474
46C112,3468
61B1,3448
25I145,3424
25I1451,3411
25I141(+1),3342
41D3,3336
11Q713,3286
25I152,3242
31A235,3213
25I3,3189
48A82,3146
41A6,3125
25I9,3096
48C514,3089
45B,3087
25I144,3066
46C21,2920
44B113,2906
47I221,2905
25H22,2905
41A2,2891
41D211(+82),2852
25H2,2850
48C2,2830
31D11221,2820
25F3,2805
41A542,2727
44C34,2703
48A98,2661
48C53,2660
48C149,2644
46B31,2592
44B1,2591
61B113,2570
45C22,2567
31A231,2556
48C51,2542
41A14,2541
25H214,2510
61BB1,2501
41A16,2482
48A821,2455
49N,2454
48C91,2451
46A14,2441
45C21,2396
44B233,2383
46C11,2377
25I22,2361
41A1,2327
48C52,2299
48C8312,2280
25I41,2278
POINT(4.5000 51.916667),2263
31A221,2257
25I1461,2239
25I2,2218
45D311,2183
41D92,2164
32A5,2141
48A9877,2113
41D221(HAT)(+82),2094
31D16,2049
46C52,2019
31D12,1978
47I213,1962
31AA235,1900
25I5,1864
34B12,1863
41D221(HAT),1843
25H1,1840
48A983,1810
42A3,1801
48A9876,1796
49M3,1744
45K13,1735
25H216,1730
25F23(LION),1724
POINT(5.133333 52.083333),1712
31A534,1709
43B31,1675
41A721,1645
41A17,1621
61B,1600
POINT(4.6500 52.366667),1597
25I151,1590
11P3111,1576
POINT(4.5000 52.1500),1575
25I155,1559
31AA231,1558
49G1,1550
41C741,1546
45K,1538
11G,1533
0,1515
44A1(+4),1506
25I6,1483
42E31,1469
41A711,1447
43C128,1441
47D31,1439
31A5341,1437
25H(+1),1430
25H114,1429
46B11,1426
46C2231,1420
11Q7121(TOWER),1417
41A9,1413
45H3,1399
44B112,1398
44A51,1395
31D17,1389
11P3113,1389
48C85,1386
33C23,1370
44A1,1337
46C13142,1333
46C161,1318
49C3,1316
31A311,1304
25H17,1301
25I144(+1),1282
46B181,1273
41A636,1266
26D1,1259
41D221,1253
46C5,1240
42B7,1240
47I214,1237
48C161,1236
48C1412,1236
11P3151,1227
34B232,1220
25H13,1209
25H133,1198
61B111,1189
25F6,1189
48C532,1184
23U1,1184
48C1411,1181
25K182,1181
POINT(-5.7167 -15.9667),1170
43C7,1166
42A4,1165
43C114,1159
46C144,1153
45C13(SWORD),1137
44B04,1133
25F,1123
41A54,1121
45C1,1117
41A161,1112
92C2,1107
25I13,1107
49B43,1103
41D232(+82),1098
42E22,1096
11P31521,1096
48A9833,1086
46C513,1084
41D221(HAT)(+81),1082
44B191,1078
25H213(+1),1075
45H3(+3),1069
61B2(+52),1068
41A7122,1051
41D2332(+82),1048
42E35,1046
41A51,1045
43B42,1043
43C244,1040
31AA,1040
41A162,1038
48A9854,1034
42B71,1034
41A773,1034
25H23,1032
41A,1029
25F22,1027
48C533,1026
POINT(4.366667 52.0000),1021
11P3112,1013
25I(+1),1005
46A151,994
46B35,986
43A422,985
61BB11,983
44BB113,982
41A141,979
46C25,977
42B742,967
41A651,966
25G411,953
25I145(+1),952
48C1423,951
48C523,950
46A1241,932
25F24(DEER),931
45H3(+2),930
25K1,929
47G1,917
25H12,907
25H156,901
48A9875,897
31A,897
42E311,894
46B21,893
84,884
25H1123,884
41D2(+82),877
46A17,872
31A46,870
25I14,868
48C2(+321),863
46B13,862
43B5,862
48C61111,861
41D221(CAP),859
48C524,856
41D221(TURBAN),851
43A42,848
25H212,846
46A1241(GOLDEN FLEECE),845
31A2211,841
48A721,839
POINT(4.283333 52.1000),832
41D263,831
12I61,827
41A6711,826
92L41,819
25H2322,819
42B74,818
31AA533,809
41D221(CAP)(+82),807
POINT(4.666667 51.8000),806
46E221,796
92B5,794
41D2423,793
41A33,791
49L4,787
25H14,786
49MM32,784
46B221,783
41D2(+81),781
25F34,781
48A9863,780
43C11,779
48A81,776
47I2211,767
31A5331,766
25H21,759
25G41(ROSE),755
41B21,754
41C12,753
11Q7129,753
48A9861,751
33A35,751
48A83,749
41D225(+82),749
11F4,749
49M43,747
41A7751,746
8,744
25H111,743
25H1321,742
48C5,739
43C1147,739
46C1511,737
44B231,732
25A13,731
42B72,730
25A,726
45C221,725
25H112,719
44G16,718
45B212,716
25H217,716
46B353,714
POINT(-2.0000 53.0000),713
25F25(ELEPHANT),713
25I1451(+1),712
45(+22),709
45K4,708
46C145,702
25I143,701
41D283,700
41D2,700
25G3(PALM-TREE),695
25H113,693
49L7,691
11H,691
25F711(BUTTERFLY),690
46C155,687
49L1,685
41D225(LONG GLOVES)(+82),685
48C1,679
41D221(+82),677
92D1,676
25F36(DUCK),676
46AA14,674
49L66,668
26A,668
45C16(CANNON),666
44A1(+3),664
46D3,663
41D2121(+82),663
41A3911,663
31AA221,663
41D211,662
43C7871,660
POINT(6.016667 51.583333),659
44C4,659
41D262(+82),658
46A1241(GOLDEN FLEECE)1,656
92B11221,653
41A111,652
31A2711,649
25H2323,649
48A98211,646
47I21,644
25G,643
44G311,642
25F33(EAGLE),640
23A1,640
48C26,639
48A9831,639
59B32,638
46C23,637
46A12,636
23R14,636
31A511,634
41B31,633
35,633
41D2663(+82),632
25F42,631
12H61,628
41D2661(+82),626
41B4,623
49G4,622
12F61,619
46B52,616
25H131,615
46C541,614
33B3,612
43A141,608
31A233,606
48C3,605
41A171,600
41A761,599
43C9,595
43A3,595
41B311,595
41A44,593
POINT(6.5500 53.216667),589
46B311,588
32B33,587
POINT(5.85278 51.8425),584
41A221,582
42D3,581
29A,580
41A34,579
25I153,579
61A,578
41A251,577
31A2245,575
25H2143,575
23F41,574
POINT(5.83333 53.16667),573
31B1,571
46C14,569
41D262,568
11Q331,567
47I2111,566
POINT(3.616667 51.5000),564
45K142,564
48C852,562
47A12,562
POINT(5.916667 51.983333),560
49M412,559
48C713,559
46CC21,556
25I241,556
31A72,554
41D2662(+82),553
POINT(5.683333 50.8500),551
46C125,551
43B8,550
44B15121,548
11Q7121(PORTAL),548
46A124,547
25H224,547
47D,545
48C7311,543
45K14,543
45C16(RIFLE),541
24A,541
46A7,537
32B,537
31F26,537
25I146,537
46A18,536
25G3(WILLOW),530
45C41,529
48B11,527
45D321,525
45L43,523
25F36(SWAN),522
92C4,521
48A822,518
47I212,518
POINT(4.8000 51.566667),517
41A72,512
POINT(5.67639 51.6975),511
43C1142,507
45D313,506
23U24,506
73B25,505
47I211,505
25H119,504
45A20,503
47B1,502
86,500
41A23,499
41D2121(+81),498
44A3,496
45B433,494
85(REYNARD THE FOX),492
POINT(5.783333 53.2000),491
48C6,490
48C162,487
45K1,486
11P23,483
48C8521,482
POINT(5.183333 52.233333),479
43B13,479
42F51,479
41A775,479
25I1411,479
25F24(CAMEL),479
92B3,476
11M44,475
49B44285,474
32A8,474
41A361,471
25G4,471
25G21,471
44G22,469
25L0,468
48C23,467
46B14,464
25H223,464
41D91,462
41D223(SHAWL)(+82),462
31A211,460
44F1,459
31A2,458
41E,456
47A22,455
44B4,455
41D221(TOP HAT),455
25G4111,455
42B,453
31E12,453
31D111,453
45H,449
47I21111,448
47I1461,448
25I142,448
49B416,447
24D,447
31A422,446
49L17,442
46C23231,442
45B32,442
42A411,441
61B(+52),440
48C9,440
11QQ712,440
POINT(3.583333 51.4500),439
25G1,439
92H1,438
41A32,437
41D24231,436
48C511,434
46C1215,432
11P31514,431
73B57,429
41A18,429
61BB111,427
31D11212,427
25H199,427
25I244,426
