notation,count
92D1916,3931
73B57,1390
73B25,814
73D41,562
11HH(MARY MAGDALENE),560
73D721,493
72A,492
73B4,472
11HH(CATHERINE),471
11H(PAUL),463
73E5,446
11L61,432
48B3,413
73D76,400
11H(JOHN THE BAPTIST),390
73B3,382
45C13(SWORD),358
41E2,346
11HH(BARBARA),343
49L12(D),311
11U1,309
73B14,298
73B81,291
73D351,290
48C7323,284
11F726,281
73E1,278
11H(JOHN THE EVANGELIST),274
11P31521,272
31A25552,265
73C121,263
73E77,260
33C93,252
73D65,251
73D314,246
49L12(P),242
73D643,235
11D3121,234
11I62(DAVID),231
73D352,223
73B64,220
73B23,219
73D323,217
71P4122,213
11H(JEROME),210
73B641,206
11H(JEROME)36,204
73D81,197
49N,192
49L12(O),192
73D24,191
73A221,188
49L12(I),187
73A6,183
73D312,180
11Q331,179
11FF4222,179
11F4222,178
11P31131,170
11F41,170
48C7311,168
73C11,167
73D415,165
73A42,164
48C74,164
11H(JAMES THE GREAT),163
32B311(ROMANS),161
11F715,161
25A13,161
44B191,157
73D,156
61B(+2),156
11H,155
73D313,154
11H(JOSEPH),154
11G,153
49L12(U),151
73E343,150
11M44,150
11E1,148
85,147
11HH(MARY MAGDALENE)36,147
73D353,147
11F4132,144
73A21,144
73A623,142
11H(ANDREW),140
92C3511,140
73E74,140
11M33,139
48C741,138
73B2,137
95B(AMAZONS)41,133
11H(MATTHEW),133
11Q7324,133
44B113,132
73D72,132
71H611,132
48C75,131
49LL71,128
73D64,126
11Q713,126
73D9,125
73D7212,125
71C1252,124
73B831,123
11H(AUGUSTINE),123
92C454,121
93A,119
73C72212,118
25F2,118
71E12541,117
73C7222,116
71C131311,115
73D61,111
49L511,110
49L12(G),110
25F3,110
94C113,108
11B3231,108
92C3,107
73A522,107
73D722,106
73F2212,104
43C11,103
11H(CHRISTOPHER),103
11F42,102
11T6,102
11H(GEORGE)41,102
48C510,102
71I325,102
11F723,102
11HH(MARGARET),102
11HH(AGNES),101
73D58,100
96A18211,100
49L12(S),100
73A31,99
73D2,99
46A1241(GOLDEN FLEECE)1,99
31F,99
73D551,98
73A34,98
73B821,96
92C351,96
11V,96
92B5,96
11F61,95
46C131,95
71E3243,95
73E425,94
73C7224,94
73G11,94
92B423,92
48C755,92
73B8211,92
41A2,91
92L1,90
42B41,90
11M31,89
11P3113,88
73C7223,88
73D3121,88
73D15,88
92C3521,88
11Q73243,87
11D1311,87
61B2,86
31F3,86
41A6711,86
97C1,86
73A521,85
11I62(DAVID)33,85
11F725,85
"61A(POMPA INTROITUS, 1635)",85
