notation,count
25G3,1228
31D14,1069
31D15,993
25H11,586
41A12,569
25G11,527
25H213,516
25I1,504
46C11,496
25H114,464
11Q712,452
25H112,430
31A231,421
46C131,419
25H,371
48C1,370
25H15,364
46A14,350
31A235,344
26A,318
46C24,316
61D(ITALIA),310
34B11,307
25H2,295
25I3,292
25I5,286
31D13,282
47I221,267
0,263
25I9,261
41A542,257
41D211,252
48C161,252
31A,247
31AA235,244
41AA1,243
46C112,238
41A144,236
61E(FRANKFURT AM MAIN),234
41D221(HAT),232
25H1,230
41A31,230
41D3,230
11H,228
46C232,223
41A361,223
46AA14,221
92D1916,221
49L12,217
41A1,215
31D14(+4),214
25I12,207
46C13141,200
25H12,200
46C53,200
25H1123,200
25H113,199
41D27,197
41D222(COLLAR),190
48C149,184
61E(ROMA),184
25H213(+1),181
41A54,179
31A534,176
47I2112,175
61E(VENEZIA),175
61D(GERMANY),174
25H155,173
31AA231,172
31D112,168
4,168
25H212,162
45B,162
41A711,157
48C16,147
41A721,146
45K142,146
11P3151,144
46A7,140
25H214,140
41A33,139
25H114(+1),139
25G31,138
47I2211,136
41A34,135
31D11222,135
25H216,133
41A17,133
11G,131
31A221,131
22C8,128
25I2,128
25I141,127
41A7751,127
25I22,127
31AA,125
22C,123
41D221,122
49N,120
48C2,119
11QQ712,118
31AA14,117
41A3911,117
41A9,116
41D2121,115
42A3,115
25I3(+1),114
31BB19,113
25H11(+1),113
48A98141,112
25I,112
46A124,110
61D(TAUNUS),110
48C24,110
31D11221,109
49MM32,109
48A98,107
31D12,106
11Q7121(TOWER),106
31A14,105
31D16,105
47I213,104
25H17,102
43C128,101
31D15(+4),101
12I61,101
48C1612,99
11P31521,99
41A51,99
25H16,99
41D212,97
25H156,97
25I9(+1),96
48C513,93
41A773,91
25H151,90
48B3,89
33C23,88
45K144,88
48C162,86
61D(SWITZERLAND),85
11Q713,84
61E(BOPPARD),84
34B12,82
47I211,82
42B742,82
25H13,81
31A233,80
31A236,80
41D2,80
25I1461,80
31D14(+51),79
25G3(+21),78
31A25552,77
61E(KRONBERG IM TAUNUS),77
41A11,76
47I214,75
11F4,75
41D2664,75
31A27631,75
41D2661,73
41A18,73
61D(DEUTSCHLAND),73
49L8,73
25F,72
46A122,72
61E(ROTHENBURG OB DER TAUBER),72
61F(KLOSTER MAULBRONN (Maulbronn)),72
41A6,71
45K141,71
41D263,70
25H217,70
41D2122,70
41A775,70
25I12(+1),70
25H23(+1),70
46C223,69
46C13142,69
11G191,69
61D(RHEIN),69
43B31,68
48A981,68
46C145,68
31A(+1),68
61F(SCHLOSS BRAUNFELS),68
61E(MAULBRONN),68
61E(FIRENZE),67
25I6,67
47G314,67
25I5(+1),67
25I1411,67
11Q7121(PORTAL),66
61E(POMPEI),66
31D14(+53),65
25H155(+1),65
41D224,64
25G1,63
"83(GOETHE, Faust)",62
44B113,62
11H(FRANCIS),62
45C13(SWORD),61
48C1621,61
25H217(+1),61
11Q21,60
25C11,60
31D15(+53),60
25I22(+1),60
46C1215,60
41A35,60
31AA(+1),59
25H21,59
41A121,59
11Q7121,58
25H1124,58
41A36,57
31A2245,57
61B2(JUPITER)1(+512),57
41A3211,56
31AA(+53),56
41D223(SHIRT),55
41D221(TURBAN),55
61E(MARBURG),55
25I144,54
45C22,54
31A(+53),54
61B2(+522),54
61D(HARZ),54
31A5341,53
48C5142,53
25G3(OAK),53
41D2652,53
31D17,52
25I14,52
61D(FRANCE),52
23R14,52
49M32,52
41A323,52
61D(MAIN),52
44E14,52
42B74,52
25H156(+1),52
41A421,51
45C221,51
61B2,51
48C14,51
48C1622,51
41A3311,50
41A7212,50
11H(JOHN),50
31A2352,50
31B6212,50
41A2,49
31D14(+1),49
61B2(+513),48
11D121,47
22C311,47
31D14(+31),47
25H15(+1),47
25I1(+1),47
49D32,46
31D15(+51),46
31A2351,46
12F61,46
31A2511,46
25H212(+1),46
48A983,46
25H23,45
25F23(LION),45
48C166,45
11Q71311,45
25H1122,45
46C13187,45
49D43,44
48C75,44
44B233,44
81(NIBELUNGENLIED),44
61E(ESSLINGEN (Neckar)),44
31D13(+4),43
31D15(+1),43
11F42,43
43C114,43
61E(NAPOLI),43
33A35,43
25I241,43
61F(BURG KRONBERG),43
61E(OBERWESEL),43
31AA236,42
41C323,42
41D2663,42
25H2322,42
44B1212,42
11HH(MARY MAGDALENE),42
31AA2351,42
61E(ASCHAFFENBURG),42
11P3113,42
41C741,41
31A2331,41
41D221(CAP),41
31D16(+4),41
41A32,41
41A44,41
25H2(+1),41
61E(MICHELSTADT),41
25G41,40
43C9,40
25H154,40
31A27113,40
41A311,40
31B6211,40
25H112(+1),40
25H133,39
11D,39
25I1451,39
61D(ALPS),39
31A311,38
61E(BACHARACH),38
11F,38
25I13,38
83,38
41D221(TOP HAT),38
41A723,38
61B2(+55),38
11Q7141,38
49L11,38
11HH,38
31A2745,38
61E(RÜDESHEIM (Rhein)),38
61E(BAD WIMPFEN),38
41D232,37
45C21,37
48C1623,37
41D266,37
48C244,37
61E(CAIRO),37
25G3(+351),37
43B2,37
61E(BLAUBEUREN),37
49L1,36
6,36
82A(MEPHISTOPHELES),36
48A9877,36
11P31514,36
25F3,36
61E(PERUGIA),36
25F711(BUTTERFLY),36
23F41,36
11G21,36
41A382,36
41D92,35
82A(FAUST),35
42E31,35
25G41(ROSE),35
46C21,35
43B42,35
41A3372,35
31E3,35
41D221(BARETT),35
25I241(+1),35
25H111,35
25I141(+1),35
45K13,35
25H2143,34
43C92,34
73B57,34
31D14(+32),34
61E(TIVOLI),34
25H14,34
25H119,34
31A2522,34
47I21111,34
41A162,34
25I145,34
25G411,34
31A2512,34
25H113(+1),34
61E(ASSISI),34
"83(HEINRICH STEINHAUSEN, Irmela)",34
11Q711,33
41A6711,33
